    0.000000    1.000000    1.000000
    0.020000    1.000000    1.000000
    0.040000    1.000000    1.000000
    0.060000    1.000000    1.000000
    0.080000    1.000000    1.000000
    0.100000    1.000000    1.000000
    0.120000    1.000000    1.000000
    0.140000    1.000000    1.000000
    0.160000    1.000000    1.000000
    0.180000    1.000000    1.000000
    0.200000    1.000000    1.000000
    0.220000    1.000000    1.000000
    0.240000    1.000000    1.000000
    0.260000    1.000000    1.000000
    0.280000    1.000000    1.000000
    0.300000    1.000000    1.000000
    0.320000    1.000000    1.000000
    0.340000    1.000000    1.000000
    0.360000    1.000000    1.000000
    0.380000    1.000000    1.000000
    0.400000    1.000000    1.000000
    0.420000    1.000000    1.000000
    0.440000    1.000000    1.000000
    0.460000    1.000000    1.000000
    0.480000    1.000000    1.000000
    0.500000    1.000000    1.000000
    0.520000    1.000000    1.000000
    0.540000    1.000000    1.000000
    0.560000    1.000000    1.000000
    0.580000    1.000000    1.000000
    0.600000    1.000000    1.000000
    0.620000    1.000000    1.000000
    0.640000    1.000000    1.000000
    0.660000    1.000000    1.000000
    0.680000    1.000000    1.000000
    0.700000    1.000000    1.000000
    0.720000    1.000000    1.000000
    0.740000    1.000000    1.000000
    0.760000    1.000000    1.000000
    0.780000    1.000000    1.000000
    0.800000    1.000000    1.000000
    0.820000    1.000000    1.000000
    0.840000    1.000000    1.000000
    0.860000    1.000000    1.000000
    0.880000    1.000000    1.000000
    0.900000    1.000000    1.000000
    0.920000    1.000000    1.000000
    0.940000    1.000000    1.000000
    0.960000    1.000000    1.000000
    0.980000    1.000000    1.000000
    1.000000    1.000000    1.000000
 
    0.000000    0.980000    0.000000
    0.020000    0.980000    0.499562
    0.040000    0.980000    0.696776
    0.060000    0.980000    0.789293
    0.080000    0.980000    0.839742
    0.100000    0.980000    0.870663
    0.120000    0.980000    0.891304
    0.140000    0.980000    0.905959
    0.160000    0.980000    0.916841
    0.180000    0.980000    0.925197
    0.200000    0.980000    0.931777
    0.220000    0.980000    0.937059
    0.240000    0.980000    0.941364
    0.260000    0.980000    0.944911
    0.280000    0.980000    0.947856
    0.300000    0.980000    0.950315
    0.320000    0.980000    0.952372
    0.340000    0.980000    0.954091
    0.360000    0.980000    0.955521
    0.380000    0.980000    0.956700
    0.400000    0.980000    0.957656
    0.420000    0.980000    0.958412
    0.440000    0.980000    0.958984
    0.460000    0.980000    0.959385
    0.480000    0.980000    0.959622
    0.500000    0.980000    0.959700
    0.520000    0.980000    0.959622
    0.540000    0.980000    0.959385
    0.560000    0.980000    0.958984
    0.580000    0.980000    0.958412
    0.600000    0.980000    0.957656
    0.620000    0.980000    0.956700
    0.640000    0.980000    0.955521
    0.660000    0.980000    0.954091
    0.680000    0.980000    0.952372
    0.700000    0.980000    0.950315
    0.720000    0.980000    0.947856
    0.740000    0.980000    0.944911
    0.760000    0.980000    0.941364
    0.780000    0.980000    0.937059
    0.800000    0.980000    0.931777
    0.820000    0.980000    0.925197
    0.840000    0.980000    0.916841
    0.860000    0.980000    0.905959
    0.880000    0.980000    0.891304
    0.900000    0.980000    0.870663
    0.920000    0.980000    0.839742
    0.940000    0.980000    0.789293
    0.960000    0.980000    0.696776
    0.980000    0.980000    0.499562
    1.000000    0.980000    0.000000
 
    0.000000    0.960000    0.000000
    0.020000    0.960000    0.301473
    0.040000    0.960000    0.498248
    0.060000    0.960000    0.620653
    0.080000    0.960000    0.699013
    0.100000    0.960000    0.751604
    0.120000    0.960000    0.788595
    0.140000    0.960000    0.815691
    0.160000    0.960000    0.836210
    0.180000    0.960000    0.852170
    0.200000    0.960000    0.864850
    0.220000    0.960000    0.875097
    0.240000    0.960000    0.883485
    0.260000    0.960000    0.890422
    0.280000    0.960000    0.896199
    0.300000    0.960000    0.901032
    0.320000    0.960000    0.905082
    0.340000    0.960000    0.908472
    0.360000    0.960000    0.911294
    0.380000    0.960000    0.913623
    0.400000    0.960000    0.915513
    0.420000    0.960000    0.917008
    0.440000    0.960000    0.918140
    0.460000    0.960000    0.918932
    0.480000    0.960000    0.919402
    0.500000    0.960000    0.919557
    0.520000    0.960000    0.919402
    0.540000    0.960000    0.918932
    0.560000    0.960000    0.918140
    0.580000    0.960000    0.917008
    0.600000    0.960000    0.915513
    0.620000    0.960000    0.913623
    0.640000    0.960000    0.911294
    0.660000    0.960000    0.908472
    0.680000    0.960000    0.905082
    0.700000    0.960000    0.901032
    0.720000    0.960000    0.896199
    0.740000    0.960000    0.890422
    0.760000    0.960000    0.883485
    0.780000    0.960000    0.875097
    0.800000    0.960000    0.864850
    0.820000    0.960000    0.852170
    0.840000    0.960000    0.836210
    0.860000    0.960000    0.815691
    0.880000    0.960000    0.788595
    0.900000    0.960000    0.751604
    0.920000    0.960000    0.699013
    0.940000    0.960000    0.620653
    0.960000    0.960000    0.498248
    0.980000    0.960000    0.301473
    1.000000    0.960000    0.000000
 
    0.000000    0.940000    0.000000
    0.020000    0.940000    0.208080
    0.040000    0.940000    0.374092
    0.060000    0.940000    0.496059
    0.080000    0.940000    0.584053
    0.100000    0.940000    0.648146
    0.120000    0.940000    0.695781
    0.140000    0.940000    0.731999
    0.160000    0.940000    0.760137
    0.180000    0.940000    0.782421
    0.200000    0.940000    0.800358
    0.220000    0.940000    0.814992
    0.240000    0.940000    0.827059
    0.260000    0.940000    0.837093
    0.280000    0.940000    0.845487
    0.300000    0.940000    0.852533
    0.320000    0.940000    0.858453
    0.340000    0.940000    0.863419
    0.360000    0.940000    0.867562
    0.380000    0.940000    0.870984
    0.400000    0.940000    0.873765
